"SEQ","VOYTERM","DATETIMEACTUALARRIVAL","DATETIMEACTUALDEPARTURE","WAGON","WAGTYPE","WPOS","ADDRESS_BARGEOPER","COPINOCODELOAD","COPINOCODEDISCHARGE","LOADINGORDISCHARGE","MAXTEU","TARE","LEN","SIZEFT","NRAXES","WAGONMODEL","PAYLOAD"
118796393,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884962405-5",SGGMRSS90,12,$SHUTRO,SM/10251,,L,4.5,27200,29.59,90,6,TOUAX,107800
118796394,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563071-2",SGNSS60,13,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796395,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565991-9",SGNSS60,14,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796396,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563162-9",SGNSS60,15,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796397,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565949-7",SGNSS60,16,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796398,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563183-5",SGNSS60,17,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796399,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565988-5",SGNSS60,18,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796400,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565976-0",SGNSS60,19,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796401,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565923-2",SGNSS60,20,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796402,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563120-7",SGNSS60,21,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796411,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"31804563138-5",SGNSS60,1,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796412,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884962425-3",SGGMRSS90,2,$SHUTRO,,MS/10231,L,4.5,27200,29.59,90,6,TOUAX,107800
118796413,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884962352-9",SGGMRSS90,3,$SHUTRO,,MS/10231,L,4.5,27200,29.59,90,6,TOUAX,108000
118796414,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565932-3",SGNSS60,4,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796415,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884961146-6",SGGMRSS90,5,$SHUTRO,,MS/10231,L,4.5,27200,29.59,90,6,TOUAX,107800
118796416,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563063-9",SGNSS60,6,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796418,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563156-1",SGNSS60,7,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796419,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565922-4",SGNSS60,8,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796420,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884962364-4",SGGMRSS90,9,$SHUTRO,,MS/10231,L,4.5,27200,29.59,90,6,TOUAX,107800
118796421,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884961177-1",SGGMRS104S90,10,$SHUTRO,,MS/10231,L,4.5,,,,,,
118796422,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33874908316-2",SFFGGMRRSS,11,$SHUTRO,,MS/10231,L,6,36000,37.34,106,8,TOUAX,108000
118796423,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"33884962405-5",SGGMRSS90,12,$SHUTRO,,MS/10231,L,4.5,27200,29.59,90,6,TOUAX,107800
118796424,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563071-2",SGNSS60,13,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796425,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565991-9",SGNSS60,14,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796426,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563162-9",SGNSS60,15,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796427,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565949-7",SGNSS60,16,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796428,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563183-5",SGNSS60,17,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118796429,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565988-5",SGNSS60,18,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796430,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565976-0",SGNSS60,19,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796431,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804565923-2",SGNSS60,20,$SHUTRO,,MS/10231,L,3,19000,19.74,60,4,ERMEWA,71000
118796432,CTTROT20210115MORTARA-B,2021-01-15 17:02:00,2021-01-15 22:45:00,"37804563120-7",SGNSS60,21,$SHUTRO,,MS/10231,L,3,19200,19.64,60,4,TOUAX,70800
118964933,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884962405-5",SGGMRSS90,1,$SHUTRO,,MS/10311,L,4.5,27200,29.59,90,6,TOUAX,107800
118964934,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33874908316-2",SFFGGMRRSS,2,$SHUTRO,,MS/10311,L,6,36000,37.34,106,8,TOUAX,108000
118964935,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884961177-1",SGGMRS104S90,3,$SHUTRO,,MS/10311,L,4.5,,,,,,
118964936,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884962364-4",SGGMRSS90,4,$SHUTRO,,MS/10311,L,4.5,27200,29.59,90,6,TOUAX,107800
118964937,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565922-4",SGNSS60,5,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964938,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563156-1",SGNSS60,6,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964939,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563063-9",SGNSS60,7,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964940,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884961146-6",SGGMRSS90,8,$SHUTRO,,MS/10311,L,4.5,27200,29.59,90,6,TOUAX,107800
118964941,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565932-3",SGNSS60,9,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964942,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884962352-9",SGGMRSS90,10,$SHUTRO,,MS/10311,L,4.5,27200,29.59,90,6,TOUAX,108000
118964943,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"33884962425-3",SGGMRSS90,11,$SHUTRO,,MS/10311,L,4.5,27200,29.59,90,6,TOUAX,107800
118964944,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"31804563138-5",SGNSS60,12,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964945,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563120-7",SGNSS60,13,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964946,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565923-2",SGNSS60,14,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964947,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565976-0",SGNSS60,15,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964948,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565988-5",SGNSS60,16,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964949,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563183-5",SGNSS60,17,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964950,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565949-7",SGNSS60,18,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964951,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563162-9",SGNSS60,19,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118964952,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804565991-9",SGNSS60,20,$SHUTRO,,MS/10311,L,3,19000,19.74,60,4,ERMEWA,71000
118964953,CTTROT20210120MORTARA-B,2021-01-20 06:00:00,2021-01-20 08:23:00,"37804563071-2",SGNSS60,21,$SHUTRO,,MS/10311,L,3,19200,19.64,60,4,TOUAX,70800
118998310,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"37804565958-8",SGNSS60,1,$SHUTRO,RD/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
118998311,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557208-5",SGNS,2,$SHUTRO,RD/10331,,L,3,,,,,,
118998312,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33684953862-2",SGGMRS,3,$SHUTRO,RD/10331,,L,4.5,,,,,,
118998313,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557629-2",SGNS,4,$SHUTRO,RD/10331,,L,3,,,,,,
118998314,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557622-7",SGNS,5,$SHUTRO,RD/10331,,L,3,,,,,,
118998316,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33684953960-4",SGGMRS,6,$SHUTRO,RD/10331,,L,4.5,,,,,,
118998318,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33884961379-3",SGGMRS,7,$SHUTRO,RD/10331,,L,4.5,,,,,,
118998319,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33684953833-3",SGGMRS,8,$SHUTRO,RD/10331,,L,4.5,,,,,,
118998320,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33884961598-8",Sggmrs90,9,$SHUTRO,RD/10331,,L,4.5,27200,,,,,
118998322,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557886-8",SGNS,10,$SHUTRO,RD/10331,,L,3,,,,,,
118998324,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557772-0",SGNS,11,$SHUTRO,RD/10331,,L,3,,,,,,
118998326,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557732-4",SGNS,12,$SHUTRO,RD/10331,,L,3,,,,,,
118998327,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557797-7",SGNS,13,$SHUTRO,RD/10331,,L,3,,,,,,
118998328,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33884962476-6",SGGMRSS,14,$SHUTRO,RD/10331,,L,4.5,27200,29.59,90,6,,108000
118998329,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"37804563041-5",SGNSS,15,$SHUTRO,RD/10331,,L,3,,,,,,
118998330,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557180-6",SGNS,16,$SHUTRO,RD/10331,,L,3,,,,,,
118998331,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557928-8",SGNS,17,$SHUTRO,RD/10331,,L,3,,,,,,
118998332,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557054-3",SGNS,18,$SHUTRO,RD/10331,,L,3,,,,,,
118998333,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557603-7",SGNS,19,$SHUTRO,RD/10331,,L,3,,,,,,
118998334,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557228-3",SGNS,20,$SHUTRO,RD/10331,,L,3,,,,,,
118998335,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557216-8",SGNS,21,$SHUTRO,RD/10331,,L,3,,,,,,
118998336,CTTROT20210120DOURGES,2021-01-20 11:00:00,2021-01-20 17:06:00,"33534557892-6",SGNS,22,$SHUTRO,RD/10331,,L,3,,,,,,
119034212,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563071-2",SGNSS60,1,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034213,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565991-9",SGNSS60,2,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034214,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563162-9",SGNSS60,3,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034215,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565949-7",SGNSS60,4,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034216,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563183-5",SGNSS60,5,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034217,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565988-5",SGNSS60,6,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034218,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565976-0",SGNSS60,7,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034219,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565923-2",SGNSS60,8,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034220,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563120-7",SGNSS60,9,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034221,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"31804563138-5",SGNSS60,10,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034222,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884962425-3",SGGMRSS90,11,$SHUTRO,SM/10331,,L,4.5,27200,29.59,90,6,TOUAX,107800
119034223,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884962352-9",SGGMRSS90,12,$SHUTRO,SM/10331,,L,4.5,27200,29.59,90,6,TOUAX,108000
119034224,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565932-3",SGNSS60,13,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034225,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884961146-6",SGGMRSS90,14,$SHUTRO,SM/10331,,L,4.5,27200,29.59,90,6,TOUAX,107800
119034226,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563063-9",SGNSS60,15,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034227,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804563156-1",SGNSS60,16,$SHUTRO,SM/10331,,L,3,19200,19.64,60,4,TOUAX,70800
119034228,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"37804565922-4",SGNSS60,17,$SHUTRO,SM/10331,,L,3,19000,19.74,60,4,ERMEWA,71000
119034229,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884962364-4",SGGMRSS90,18,$SHUTRO,SM/10331,,L,4.5,27200,29.59,90,6,TOUAX,107800
119034230,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884961177-1",SGGMRS104S90,19,$SHUTRO,SM/10331,,L,4.5,,,,,,
119034231,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33874908316-2",SFFGGMRRSS,20,$SHUTRO,SM/10331,,L,6,36000,37.34,106,8,TOUAX,108000
119034232,CTTROT20210120MORTARA,2021-01-20 18:30:00,2021-01-20 21:15:00,"33884962405-5",SGGMRSS90,21,$SHUTRO,SM/10331,,L,4.5,27200,29.59,90,6,TOUAX,107800
119119702,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33884961336-3",SGGMRSS90,1,$SHUTRO,,MS/10331,L,4.5,27200,29.59,90,6,TOUAX,107800
119119703,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804565955-4",SGNSS60,2,$SHUTRO,,MS/10331,L,3,19000,19.74,60,4,ERMEWA,71000
119119704,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33534557885-0",SGNSS60,3,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119705,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563066-2",SGNSS60,4,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119706,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33534557756-3",SGNSS60,5,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119707,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563084-5",SGNSS60,6,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119708,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563129-8",SGNSS60,7,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119709,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33884962366-9",SGGMRSS90,8,$SHUTRO,,MS/10331,L,4.5,27200,29.59,90,6,TOUAX,170800
119119710,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563001-9",SGNSS60,9,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119711,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33884961140-9",SGGMRSS90,10,$SHUTRO,,MS/10331,L,4.5,27200,29.59,90,6,TOUAX,107800
119119712,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804565931-5",SGNSS60,11,$SHUTRO,,MS/10331,L,3,19000,19.74,60,4,ERMEWA,71000
119119713,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33884961353-8",SGGMRSS90,12,$SHUTRO,,MS/10331,L,4.5,27160,29.59,90,6,TOUAX,107800
119119714,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563047-2",SGNSS60,13,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119715,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"31804563104-7",SGNSS60,14,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119716,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563157-9",SGNSS60,15,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119717,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"31804563165-8",SGNSS60,16,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119718,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804565963-8",SGNSS60,17,$SHUTRO,,MS/10331,L,3,19000,19.74,60,4,ERMEWA,71000
119119719,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33884961196-1",SGGMRSS90,18,$SHUTRO,,MS/10331,L,4.5,27200,29.59,90,6,TOUAX,107800
119119720,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"33874908706-4",SFFGGMRRSS,19,$SHUTRO,,MS/10331,L,6,35560,37.36,106,8,TOUAX,108000
119119721,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563059-7",SGNSS60,20,$SHUTRO,,MS/10331,L,3,19200,19.64,60,4,TOUAX,70800
119119722,CTTROT20210122MORTARA-B,2021-01-22 08:42:00,2021-01-22 11:15:00,"37804563218-9",SGNSS,21,$SHUTRO,,MS/10331,L,3,,,,,,
119126297,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557892-6",SGNS,1,$SHUTRO,,DR/10351,L,3,,,,,,
119126298,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557216-8",SGNS,2,$SHUTRO,,DR/10351,L,3,,,,,,
119126299,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557228-3",SGNS,3,$SHUTRO,,DR/10351,L,3,,,,,,
119126300,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557603-7",SGNS,4,$SHUTRO,,DR/10351,L,3,,,,,,
119126301,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557054-3",SGNS,5,$SHUTRO,,DR/10351,L,3,,,,,,
119126302,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557928-8",SGNS,6,$SHUTRO,,DR/10351,L,3,,,,,,
119126303,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557180-6",SGNS,7,$SHUTRO,,DR/10351,L,3,,,,,,
119126304,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"37804563041-5",SGNSS,8,$SHUTRO,,DR/10351,L,3,,,,,,
119126305,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33884962476-6",SGGMRSS,9,$SHUTRO,,DR/10351,L,4.5,27200,29.59,90,6,,108000
119126306,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557797-7",SGNS,10,$SHUTRO,,DR/10351,L,3,,,,,,
119126307,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557732-4",SGNS,11,$SHUTRO,,DR/10351,L,3,,,,,,
119126308,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557772-0",SGNS,12,$SHUTRO,,DR/10351,L,3,,,,,,
119126309,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557886-8",SGNS,13,$SHUTRO,,DR/10351,L,3,,,,,,
119126310,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33884961598-8",Sggmrs90,14,$SHUTRO,,DR/10351,L,4.5,27200,,,,,
119126311,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33684953833-3",SGGMRS,15,$SHUTRO,,DR/10351,L,4.5,,,,,,
119126312,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33884961379-3",SGGMRS,16,$SHUTRO,,DR/10351,L,4.5,,,,,,
119126313,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33684953960-4",SGGMRS,17,$SHUTRO,,DR/10351,L,4.5,,,,,,
119126314,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557622-7",SGNS,18,$SHUTRO,,DR/10351,L,3,,,,,,
119126315,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557629-2",SGNS,19,$SHUTRO,,DR/10351,L,3,,,,,,
119126316,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33684953862-2",SGGMRS,20,$SHUTRO,,DR/10351,L,4.5,,,,,,
119126317,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"33534557208-5",SGNS,21,$SHUTRO,,DR/10351,L,3,,,,,,
119126318,CTTROT20210122DOURGES,2021-01-22 15:53:00,2021-01-22 18:24:00,"37804565958-8",SGNSS60,22,$SHUTRO,,DR/10351,L,3,19000,19.74,60,4,ERMEWA,71000
119172125,CTTROT20210122MORTARA,2021-01-22 19:35:00,2021-01-22 22:10:00,"33884962562-3",SGGMRSS,1,$SHUTRO,SM/10351,,L,4.5,27200,29.59,90,6,,108000
119172126,CTTROT20210122MORTARA,2021-01-22 19:35:00,2021-01-22 22:10:00,"33884962503-7",SGGMRS,2,$SHUTRO,SM/10351,,L,4.5,26680,29.59,90,,,
119172127,CTTROT20210122MORTARA,2021-01-22 19:35:00,2021-01-22 22:10:00,"37804565966-1",SGNSS,3,$SHUTRO,SM/10351,,L,3,,,,,,
119172128,CTTROT20210122MORTARA,2021-01-22 19:35:00,2021-01-22 22:10:00,"37804563012-6",SGNSS,4,$SHUTRO,SM/10351,,L,3,,,,,,
